id,name,city_id,match_db_id,upper_name,action
11.02.08,Lawe Bulan,11.02,1104,LAWE BULAN,"insert into region (name, parent, type) values   ('LAWE BULAN,'1104','KECAMATAN');"
11.02.09,Bukit Tusam,11.02,1104,BUKIT TUSAM,"insert into region (name, parent, type) values   ('BUKIT TUSAM,'1104','KECAMATAN');"
11.02.10,Semadam,11.02,1104,SEMADAM,"insert into region (name, parent, type) values   ('SEMADAM,'1104','KECAMATAN');"
11.02.11,Babul Rahmah,11.02,1104,BABUL RAHMAH,"insert into region (name, parent, type) values   ('BABUL RAHMAH,'1104','KECAMATAN');"
11.02.12,Ketambe,11.02,1104,KETAMBE,"insert into region (name, parent, type) values   ('KETAMBE,'1104','KECAMATAN');"
11.02.13,Deleng Pokhkisen (Deleng Pokhisen),11.02,1104,DELENG POKHKISEN (DELENG POKHISEN),"insert into region (name, parent, type) values   ('DELENG POKHKISEN (DELENG POKHISEN),'1104','KECAMATAN');"
11.02.14,Lawe Sumur,11.02,1104,LAWE SUMUR,"insert into region (name, parent, type) values   ('LAWE SUMUR,'1104','KECAMATAN');"
11.02.15,Tanoh Alas (Tanah Alas),11.02,1104,TANOH ALAS (TANAH ALAS),"insert into region (name, parent, type) values   ('TANOH ALAS (TANAH ALAS),'1104','KECAMATAN');"
11.02.16,Leuser,11.02,1104,LEUSER,"insert into region (name, parent, type) values   ('LEUSER,'1104','KECAMATAN');"
11.03.01,Darul Aman,11.03,1105,DARUL AMAN,"insert into region (name, parent, type) values   ('DARUL AMAN,'1105','KECAMATAN');"
11.03.02,Julok,11.03,1105,JULOK,"insert into region (name, parent, type) values   ('JULOK,'1105','KECAMATAN');"
11.03.03,Idi Rayeuk,11.03,1105,IDI RAYEUK,"insert into region (name, parent, type) values   ('IDI RAYEUK,'1105','KECAMATAN');"
11.03.04,Birem Bayeun,11.03,1105,BIREM BAYEUN,"insert into region (name, parent, type) values   ('BIREM BAYEUN,'1105','KECAMATAN');"
11.03.05,Serbajadi,11.03,1105,SERBAJADI,"insert into region (name, parent, type) values   ('SERBAJADI,'1105','KECAMATAN');"
11.03.06,Nurussalam,11.03,1105,NURUSSALAM,"insert into region (name, parent, type) values   ('NURUSSALAM,'1105','KECAMATAN');"
11.03.07,Peureulak,11.03,1105,PEUREULAK,"insert into region (name, parent, type) values   ('PEUREULAK,'1105','KECAMATAN');"
11.03.08,Rantau Selamat,11.03,1105,RANTAU SELAMAT,"insert into region (name, parent, type) values   ('RANTAU SELAMAT,'1105','KECAMATAN');"
11.03.09,Simpang Ulim,11.03,1105,SIMPANG ULIM,"insert into region (name, parent, type) values   ('SIMPANG ULIM,'1105','KECAMATAN');"
11.03.10,Rantau Peureulak (Ranto Peureulak),11.03,1105,RANTAU PEUREULAK (RANTO PEUREULAK),"insert into region (name, parent, type) values   ('RANTAU PEUREULAK (RANTO PEUREULAK),'1105','KECAMATAN');"
11.03.11,Pante Bidari,11.03,1105,PANTE BIDARI,"insert into region (name, parent, type) values   ('PANTE BIDARI,'1105','KECAMATAN');"
11.03.12,Madat,11.03,1105,MADAT,"insert into region (name, parent, type) values   ('MADAT,'1105','KECAMATAN');"
11.03.13,Indra Makmu (Indra Makmur),11.03,1105,INDRA MAKMU (INDRA MAKMUR),"insert into region (name, parent, type) values   ('INDRA MAKMU (INDRA MAKMUR),'1105','KECAMATAN');"
11.03.14,Idi Tunong,11.03,1105,IDI TUNONG,"insert into region (name, parent, type) values   ('IDI TUNONG,'1105','KECAMATAN');"
11.03.15,Banda Alam,11.03,1105,BANDA ALAM,"insert into region (name, parent, type) values   ('BANDA ALAM,'1105','KECAMATAN');"
11.03.16,Peudawa,11.03,1105,PEUDAWA,"insert into region (name, parent, type) values   ('PEUDAWA,'1105','KECAMATAN');"
11.03.17,Peureulak Timur,11.03,1105,PEUREULAK TIMUR,"insert into region (name, parent, type) values   ('PEUREULAK TIMUR,'1105','KECAMATAN');"
11.03.18,Peureulak Barat,11.03,1105,PEUREULAK BARAT,"insert into region (name, parent, type) values   ('PEUREULAK BARAT,'1105','KECAMATAN');"
11.03.19,Sungai Raya,11.03,1105,SUNGAI RAYA,"insert into region (name, parent, type) values   ('SUNGAI RAYA,'1105','KECAMATAN');"
11.03.20,Simpang Jernih,11.03,1105,SIMPANG JERNIH,"insert into region (name, parent, type) values   ('SIMPANG JERNIH,'1105','KECAMATAN');"
11.03.21,Darul Ihsan (Iksan),11.03,1105,DARUL IHSAN (IKSAN),"insert into region (name, parent, type) values   ('DARUL IHSAN (IKSAN),'1105','KECAMATAN');"
11.03.22,Darul Falah,11.03,1105,DARUL FALAH,"insert into region (name, parent, type) values   ('DARUL FALAH,'1105','KECAMATAN');"
11.03.23,Idi Timur,11.03,1105,IDI TIMUR,"insert into region (name, parent, type) values   ('IDI TIMUR,'1105','KECAMATAN');"
11.03.24,Peunaron,11.03,1105,PEUNARON,"insert into region (name, parent, type) values   ('PEUNARON,'1105','KECAMATAN');"
11.04.01,Linge,11.04,1106,LINGE,"insert into region (name, parent, type) values   ('LINGE,'1106','KECAMATAN');"
11.04.02,Silih Nara,11.04,1106,SILIH NARA,"insert into region (name, parent, type) values   ('SILIH NARA,'1106','KECAMATAN');"
11.04.03,Bebesen,11.04,1106,BEBESEN,"insert into region (name, parent, type) values   ('BEBESEN,'1106','KECAMATAN');"
11.04.07,Pegasing,11.04,1106,PEGASING,"insert into region (name, parent, type) values   ('PEGASING,'1106','KECAMATAN');"
11.04.08,Bintang,11.04,1106,BINTANG,"insert into region (name, parent, type) values   ('BINTANG,'1106','KECAMATAN');"
11.04.10,Ketol,11.04,1106,KETOL,"insert into region (name, parent, type) values   ('KETOL,'1106','KECAMATAN');"
11.04.11,Kebayakan,11.04,1106,KEBAYAKAN,"insert into region (name, parent, type) values   ('KEBAYAKAN,'1106','KECAMATAN');"
11.04.12,Kute Panang,11.04,1106,KUTE PANANG,"insert into region (name, parent, type) values   ('KUTE PANANG,'1106','KECAMATAN');"
11.04.13,Celala,11.04,1106,CELALA,"insert into region (name, parent, type) values   ('CELALA,'1106','KECAMATAN');"
11.04.17,Laut Tawar (Lut Tawar),11.04,1106,LAUT TAWAR (LUT TAWAR),"insert into region (name, parent, type) values   ('LAUT TAWAR (LUT TAWAR),'1106','KECAMATAN');"
11.04.18,Atu Lintang,11.04,1106,ATU LINTANG,"insert into region (name, parent, type) values   ('ATU LINTANG,'1106','KECAMATAN');"
11.04.19,Jagong Jeget,11.04,1106,JAGONG JEGET,"insert into region (name, parent, type) values   ('JAGONG JEGET,'1106','KECAMATAN');"
11.04.20,Bies,11.04,1106,BIES,"insert into region (name, parent, type) values   ('BIES,'1106','KECAMATAN');"
11.04.21,Rusip Antara,11.04,1106,RUSIP ANTARA,"insert into region (name, parent, type) values   ('RUSIP ANTARA,'1106','KECAMATAN');"
11.05.01,Johan Pahwalan (Johan Pahlawan),11.05,1107,JOHAN PAHWALAN (JOHAN PAHLAWAN),"insert into region (name, parent, type) values   ('JOHAN PAHWALAN (JOHAN PAHLAWAN),'1107','KECAMATAN');"
11.05.02,Kaway XVI,11.05,1107,KAWAY XVI,"insert into region (name, parent, type) values   ('KAWAY XVI,'1107','KECAMATAN');"
11.05.03,Sungai Mas,11.05,1107,SUNGAI MAS,"insert into region (name, parent, type) values   ('SUNGAI MAS,'1107','KECAMATAN');"
11.05.04,Woyla,11.05,1107,WOYLA,"insert into region (name, parent, type) values   ('WOYLA,'1107','KECAMATAN');"
11.05.05,Samatiga,11.05,1107,SAMATIGA,"insert into region (name, parent, type) values   ('SAMATIGA,'1107','KECAMATAN');"
11.05.06,Bubon,11.05,1107,BUBON,"insert into region (name, parent, type) values   ('BUBON,'1107','KECAMATAN');"
11.05.07,Arongan Lambalek,11.05,1107,ARONGAN LAMBALEK,"insert into region (name, parent, type) values   ('ARONGAN LAMBALEK,'1107','KECAMATAN');"
11.05.08,Pante Ceureumen (Pantai Ceuremen),11.05,1107,PANTE CEUREUMEN (PANTAI CEUREMEN),"insert into region (name, parent, type) values   ('PANTE CEUREUMEN (PANTAI CEUREMEN),'1107','KECAMATAN');"
11.05.09,Meureubo,11.05,1107,MEUREUBO,"insert into region (name, parent, type) values   ('MEUREUBO,'1107','KECAMATAN');"
11.05.10,Woyla Barat,11.05,1107,WOYLA BARAT,"insert into region (name, parent, type) values   ('WOYLA BARAT,'1107','KECAMATAN');"
11.05.11,Woyla Timur,11.05,1107,WOYLA TIMUR,"insert into region (name, parent, type) values   ('WOYLA TIMUR,'1107','KECAMATAN');"
11.05.12,Panton Reu,11.05,1107,PANTON REU,"insert into region (name, parent, type) values   ('PANTON REU,'1107','KECAMATAN');"
11.06.01,Lhoong,11.06,1108,LHOONG,"insert into region (name, parent, type) values   ('LHOONG,'1108','KECAMATAN');"
11.06.02,Lhoknga (Lho'nga),11.06,1108,LHOKNGA (LHO'NGA),"insert into region (name, parent, type) values   ('LHOKNGA (LHO'NGA),'1108','KECAMATAN');"
11.06.03,Indrapuri,11.06,1108,INDRAPURI,"insert into region (name, parent, type) values   ('INDRAPURI,'1108','KECAMATAN');"
11.06.04,Seulimeum,11.06,1108,SEULIMEUM,"insert into region (name, parent, type) values   ('SEULIMEUM,'1108','KECAMATAN');"
11.06.05,Montasik (Mantasiek),11.06,1108,MONTASIK (MANTASIEK),"insert into region (name, parent, type) values   ('MONTASIK (MANTASIEK),'1108','KECAMATAN');"
11.06.06,Sukamakmur (Suka Makmur),11.06,1108,SUKAMAKMUR (SUKA MAKMUR),"insert into region (name, parent, type) values   ('SUKAMAKMUR (SUKA MAKMUR),'1108','KECAMATAN');"
11.06.07,Darul Imarah,11.06,1108,DARUL IMARAH,"insert into region (name, parent, type) values   ('DARUL IMARAH,'1108','KECAMATAN');"
11.06.08,Peukan Bada,11.06,1108,PEUKAN BADA,"insert into region (name, parent, type) values   ('PEUKAN BADA,'1108','KECAMATAN');"
11.06.09,Mesjid Raya,11.06,1108,MESJID RAYA,"insert into region (name, parent, type) values   ('MESJID RAYA,'1108','KECAMATAN');"
11.06.10,Ingin Jaya,11.06,1108,INGIN JAYA,"insert into region (name, parent, type) values   ('INGIN JAYA,'1108','KECAMATAN');"
11.06.11,Kuta Baro,11.06,1108,KUTA BARO,"insert into region (name, parent, type) values   ('KUTA BARO,'1108','KECAMATAN');"
11.06.12,Darussalam,11.06,1108,DARUSSALAM,"insert into region (name, parent, type) values   ('DARUSSALAM,'1108','KECAMATAN');"
11.06.13,Pulo Aceh,11.06,1108,PULO ACEH,"insert into region (name, parent, type) values   ('PULO ACEH,'1108','KECAMATAN');"
11.06.14,Lembah Seulawah,11.06,1108,LEMBAH SEULAWAH,"insert into region (name, parent, type) values   ('LEMBAH SEULAWAH,'1108','KECAMATAN');"
11.06.15,Kota Jantho,11.06,1108,KOTA JANTHO,"insert into region (name, parent, type) values   ('KOTA JANTHO,'1108','KECAMATAN');"
11.06.16,Kuta Cot Glie (Kota Cot Glie),11.06,1108,KUTA COT GLIE (KOTA COT GLIE),"insert into region (name, parent, type) values   ('KUTA COT GLIE (KOTA COT GLIE),'1108','KECAMATAN');"
11.06.17,Kuta Malaka (Kota Malaka),11.06,1108,KUTA MALAKA (KOTA MALAKA),"insert into region (name, parent, type) values   ('KUTA MALAKA (KOTA MALAKA),'1108','KECAMATAN');"
11.06.18,Simpang Tiga,11.06,1108,SIMPANG TIGA,"insert into region (name, parent, type) values   ('SIMPANG TIGA,'1108','KECAMATAN');"
11.06.19,Darul Kamal,11.06,1108,DARUL KAMAL,"insert into region (name, parent, type) values   ('DARUL KAMAL,'1108','KECAMATAN');"
11.06.20,Baitussalam,11.06,1108,BAITUSSALAM,"insert into region (name, parent, type) values   ('BAITUSSALAM,'1108','KECAMATAN');"
11.06.21,Krueng Barona Jaya,11.06,1108,KRUENG BARONA JAYA,"insert into region (name, parent, type) values   ('KRUENG BARONA JAYA,'1108','KECAMATAN');"
11.06.22,Leupung,11.06,1108,LEUPUNG,"insert into region (name, parent, type) values   ('LEUPUNG,'1108','KECAMATAN');"
11.06.23,Blang Bintang (Blank Bintang),11.06,1108,BLANG BINTANG (BLANK BINTANG),"insert into region (name, parent, type) values   ('BLANG BINTANG (BLANK BINTANG),'1108','KECAMATAN');"
11.07.03,Batee,11.07,1109,BATEE,"insert into region (name, parent, type) values   ('BATEE,'1109','KECAMATAN');"
11.07.04,Delima,11.07,1109,DELIMA,"insert into region (name, parent, type) values   ('DELIMA,'1109','KECAMATAN');"
11.07.05,Geumpang,11.07,1109,GEUMPANG,"insert into region (name, parent, type) values   ('GEUMPANG,'1109','KECAMATAN');"
11.07.06,Glumpang Tiga (Geulumpang Tiga),11.07,1109,GLUMPANG TIGA (GEULUMPANG TIGA),"insert into region (name, parent, type) values   ('GLUMPANG TIGA (GEULUMPANG TIGA),'1109','KECAMATAN');"
11.07.07,Indrajaya (Indra Jaya),11.07,1109,INDRAJAYA (INDRA JAYA),"insert into region (name, parent, type) values   ('INDRAJAYA (INDRA JAYA),'1109','KECAMATAN');"
11.07.08,Kembang Tanjong,11.07,1109,KEMBANG TANJONG,"insert into region (name, parent, type) values   ('KEMBANG TANJONG,'1109','KECAMATAN');"
11.07.09,Kota Sigli,11.07,1109,KOTA SIGLI,"insert into region (name, parent, type) values   ('KOTA SIGLI,'1109','KECAMATAN');"
11.07.11,Mila,11.07,1109,MILA,"insert into region (name, parent, type) values   ('MILA,'1109','KECAMATAN');"
11.07.12,Muara Tiga,11.07,1109,MUARA TIGA,"insert into region (name, parent, type) values   ('MUARA TIGA,'1109','KECAMATAN');"
11.07.13,Mutiara,11.07,1109,MUTIARA,"insert into region (name, parent, type) values   ('MUTIARA,'1109','KECAMATAN');"
11.07.14,Padang Tiji,11.07,1109,PADANG TIJI,"insert into region (name, parent, type) values   ('PADANG TIJI,'1109','KECAMATAN');"
11.07.15,Peukan Baro,11.07,1109,PEUKAN BARO,"insert into region (name, parent, type) values   ('PEUKAN BARO,'1109','KECAMATAN');"
11.07.16,Pidie,11.07,1109,PIDIE,"insert into region (name, parent, type) values   ('PIDIE,'1109','KECAMATAN');"
11.07.17,Sakti,11.07,1109,SAKTI,"insert into region (name, parent, type) values   ('SAKTI,'1109','KECAMATAN');"
11.07.18,Simpang Tiga,11.07,1109,SIMPANG TIGA,"insert into region (name, parent, type) values   ('SIMPANG TIGA,'1109','KECAMATAN');"
11.07.19,Tangse,11.07,1109,TANGSE,"insert into region (name, parent, type) values   ('TANGSE,'1109','KECAMATAN');"
11.07.21,Tiro/Truseb,11.07,1109,TIRO/TRUSEB,"insert into region (name, parent, type) values   ('TIRO/TRUSEB,'1109','KECAMATAN');"
11.07.22,Keumala,11.07,1109,KEUMALA,"insert into region (name, parent, type) values   ('KEUMALA,'1109','KECAMATAN');"
11.07.24,Mutiara Timur,11.07,1109,MUTIARA TIMUR,"insert into region (name, parent, type) values   ('MUTIARA TIMUR,'1109','KECAMATAN');"
11.07.25,Grong Grong,11.07,1109,GRONG GRONG,"insert into region (name, parent, type) values   ('GRONG GRONG,'1109','KECAMATAN');"
11.07.27,Mane,11.07,1109,MANE,"insert into region (name, parent, type) values   ('MANE,'1109','KECAMATAN');"
11.07.29,Glumpang Baro,11.07,1109,GLUMPANG BARO,"insert into region (name, parent, type) values   ('GLUMPANG BARO,'1109','KECAMATAN');"
11.07.31,Titeue,11.07,1109,TITEUE,"insert into region (name, parent, type) values   ('TITEUE,'1109','KECAMATAN');"
11.08.01,Baktiya,11.08,1111,BAKTIYA,"insert into region (name, parent, type) values   ('BAKTIYA,'1111','KECAMATAN');"
11.08.02,Dewantara,11.08,1111,DEWANTARA,"insert into region (name, parent, type) values   ('DEWANTARA,'1111','KECAMATAN');"
11.08.03,Kuta Makmur,11.08,1111,KUTA MAKMUR,"insert into region (name, parent, type) values   ('KUTA MAKMUR,'1111','KECAMATAN');"
11.08.04,Lhoksukon,11.08,1111,LHOKSUKON,"insert into region (name, parent, type) values   ('LHOKSUKON,'1111','KECAMATAN');"
11.08.05,Matangkuli,11.08,1111,MATANGKULI,"insert into region (name, parent, type) values   ('MATANGKULI,'1111','KECAMATAN');"
11.08.06,Muara Batu,11.08,1111,MUARA BATU,"insert into region (name, parent, type) values   ('MUARA BATU,'1111','KECAMATAN');"
11.08.07,Meurah Mulia,11.08,1111,MEURAH MULIA,"insert into region (name, parent, type) values   ('MEURAH MULIA,'1111','KECAMATAN');"
11.08.08,Samudera,11.08,1111,SAMUDERA,"insert into region (name, parent, type) values   ('SAMUDERA,'1111','KECAMATAN');"
11.08.09,Seunuddon (Seunudon),11.08,1111,SEUNUDDON (SEUNUDON),"insert into region (name, parent, type) values   ('SEUNUDDON (SEUNUDON),'1111','KECAMATAN');"
11.08.10,Syamtalira Aron,11.08,1111,SYAMTALIRA ARON,"insert into region (name, parent, type) values   ('SYAMTALIRA ARON,'1111','KECAMATAN');"
11.08.11,Syamtalira Bayu,11.08,1111,SYAMTALIRA BAYU,"insert into region (name, parent, type) values   ('SYAMTALIRA BAYU,'1111','KECAMATAN');"
11.08.12,Tanah Luas,11.08,1111,TANAH LUAS,"insert into region (name, parent, type) values   ('TANAH LUAS,'1111','KECAMATAN');"
11.08.13,Tanah Pasir,11.08,1111,TANAH PASIR,"insert into region (name, parent, type) values   ('TANAH PASIR,'1111','KECAMATAN');"
11.08.14,T. Jambo Aye (Tanah Jambo Aye),11.08,1111,T. JAMBO AYE (TANAH JAMBO AYE),"insert into region (name, parent, type) values   ('T. JAMBO AYE (TANAH JAMBO AYE),'1111','KECAMATAN');"
11.08.15,Sawang,11.08,1111,SAWANG,"insert into region (name, parent, type) values   ('SAWANG,'1111','KECAMATAN');"
11.08.16,Nisam,11.08,1111,NISAM,"insert into region (name, parent, type) values   ('NISAM,'1111','KECAMATAN');"
11.08.17,Cot Girek,11.08,1111,COT GIREK,"insert into region (name, parent, type) values   ('COT GIREK,'1111','KECAMATAN');"
11.08.18,Langkahan,11.08,1111,LANGKAHAN,"insert into region (name, parent, type) values   ('LANGKAHAN,'1111','KECAMATAN');"
11.08.19,Baktiya Barat,11.08,1111,BAKTIYA BARAT,"insert into region (name, parent, type) values   ('BAKTIYA BARAT,'1111','KECAMATAN');"
11.08.20,Paya Bakong,11.08,1111,PAYA BAKONG,"insert into region (name, parent, type) values   ('PAYA BAKONG,'1111','KECAMATAN');"
11.08.21,Nibong,11.08,1111,NIBONG,"insert into region (name, parent, type) values   ('NIBONG,'1111','KECAMATAN');"
11.08.22,Simpang Kramat (Keramat),11.08,1111,SIMPANG KRAMAT (KERAMAT),"insert into region (name, parent, type) values   ('SIMPANG KRAMAT (KERAMAT),'1111','KECAMATAN');"
11.08.23,Lapang,11.08,1111,LAPANG,"insert into region (name, parent, type) values   ('LAPANG,'1111','KECAMATAN');"
11.08.24,Pirak Timur,11.08,1111,PIRAK TIMUR,"insert into region (name, parent, type) values   ('PIRAK TIMUR,'1111','KECAMATAN');"
11.08.25,Geuredong Pase,11.08,1111,GEUREDONG PASE,"insert into region (name, parent, type) values   ('GEUREDONG PASE,'1111','KECAMATAN');"
11.08.26,Banda Baro,11.08,1111,BANDA BARO,"insert into region (name, parent, type) values   ('BANDA BARO,'1111','KECAMATAN');"
11.08.27,Nisam Antara,11.08,1111,NISAM ANTARA,"insert into region (name, parent, type) values   ('NISAM ANTARA,'1111','KECAMATAN');"
11.09.01,Simeulue Tengah (Simeuleu Tengah),11.09,1101,SIMEULUE TENGAH (SIMEULEU TENGAH),"insert into region (name, parent, type) values   ('SIMEULUE TENGAH (SIMEULEU TENGAH),'1101','KECAMATAN');"
11.09.02,Salang,11.09,1101,SALANG,"insert into region (name, parent, type) values   ('SALANG,'1101','KECAMATAN');"
11.09.03,Teupah Barat,11.09,1101,TEUPAH BARAT,"insert into region (name, parent, type) values   ('TEUPAH BARAT,'1101','KECAMATAN');"
11.09.04,Simeulue Timur (Simeuleu Timur),11.09,1101,SIMEULUE TIMUR (SIMEULEU TIMUR),"insert into region (name, parent, type) values   ('SIMEULUE TIMUR (SIMEULEU TIMUR),'1101','KECAMATAN');"
11.09.05,Teluk Dalam,11.09,1101,TELUK DALAM,"insert into region (name, parent, type) values   ('TELUK DALAM,'1101','KECAMATAN');"
11.09.06,Simeulue Barat (Simeuleu Barat),11.09,1101,SIMEULUE BARAT (SIMEULEU BARAT),"insert into region (name, parent, type) values   ('SIMEULUE BARAT (SIMEULEU BARAT),'1101','KECAMATAN');"
11.09.07,Teupah Selatan,11.09,1101,TEUPAH SELATAN,"insert into region (name, parent, type) values   ('TEUPAH SELATAN,'1101','KECAMATAN');"
11.09.08,Alafan (Alapan),11.09,1101,ALAFAN (ALAPAN),"insert into region (name, parent, type) values   ('ALAFAN (ALAPAN),'1101','KECAMATAN');"
11.09.09,Teupah Tengah,11.09,1101,TEUPAH TENGAH,"insert into region (name, parent, type) values   ('TEUPAH TENGAH,'1101','KECAMATAN');"
11.09.10,Simeulue Cut,11.09,1101,SIMEULUE CUT,"insert into region (name, parent, type) values   ('SIMEULUE CUT,'1101','KECAMATAN');"
11.10.01,Pulau Banyak,11.10,#N/A,,
11.10.02,Simpang Kanan,11.10,#N/A,,
11.10.04,Singkil,11.10,#N/A,,
11.10.06,Gunung Meriah (Mariah),11.10,#N/A,,
11.10.09,Kota Baharu,11.10,#N/A,,
11.10.10,Singkil Utara,11.10,#N/A,,
11.10.11,Danau Paris,11.10,#N/A,,
11.10.12,Suro Makmur,11.10,#N/A,,
11.10.13,Singkohor,11.10,#N/A,,
11.10.14,Kuala Baru,11.10,#N/A,,
11.10.16,Pulau Banyak Barat,11.10,#N/A,,
11.11.01,Samalanga,11.11,1110,SAMALANGA,"insert into region (name, parent, type) values   ('SAMALANGA,'1110','KECAMATAN');"
11.11.02,Jeunieb,11.11,1110,JEUNIEB,"insert into region (name, parent, type) values   ('JEUNIEB,'1110','KECAMATAN');"
11.11.03,Peudada,11.11,1110,PEUDADA,"insert into region (name, parent, type) values   ('PEUDADA,'1110','KECAMATAN');"
11.11.04,Jeumpa,11.11,1110,JEUMPA,"insert into region (name, parent, type) values   ('JEUMPA,'1110','KECAMATAN');"
11.11.05,Peusangan,11.11,1110,PEUSANGAN,"insert into region (name, parent, type) values   ('PEUSANGAN,'1110','KECAMATAN');"
11.11.06,Makmur,11.11,1110,MAKMUR,"insert into region (name, parent, type) values   ('MAKMUR,'1110','KECAMATAN');"
11.11.07,Gandapura (Ganda Pura),11.11,1110,GANDAPURA (GANDA PURA),"insert into region (name, parent, type) values   ('GANDAPURA (GANDA PURA),'1110','KECAMATAN');"
11.11.08,Pandrah,11.11,1110,PANDRAH,"insert into region (name, parent, type) values   ('PANDRAH,'1110','KECAMATAN');"
11.11.09,Juli,11.11,1110,JULI,"insert into region (name, parent, type) values   ('JULI,'1110','KECAMATAN');"
11.11.10,Jangka,11.11,1110,JANGKA,"insert into region (name, parent, type) values   ('JANGKA,'1110','KECAMATAN');"
11.11.11,Simpang Mamplam,11.11,1110,SIMPANG MAMPLAM,"insert into region (name, parent, type) values   ('SIMPANG MAMPLAM,'1110','KECAMATAN');"
11.11.12,Peulimbang (Plimbang),11.11,1110,PEULIMBANG (PLIMBANG),"insert into region (name, parent, type) values   ('PEULIMBANG (PLIMBANG),'1110','KECAMATAN');"
11.11.13,Kota Juang,11.11,1110,KOTA JUANG,"insert into region (name, parent, type) values   ('KOTA JUANG,'1110','KECAMATAN');"
11.11.14,Kuala,11.11,1110,KUALA,"insert into region (name, parent, type) values   ('KUALA,'1110','KECAMATAN');"
11.11.15,Peusangan Siblah Krueng,11.11,1110,PEUSANGAN SIBLAH KRUENG,"insert into region (name, parent, type) values   ('PEUSANGAN SIBLAH KRUENG,'1110','KECAMATAN');"
11.11.16,Peusangan Selatan,11.11,1110,PEUSANGAN SELATAN,"insert into region (name, parent, type) values   ('PEUSANGAN SELATAN,'1110','KECAMATAN');"
11.11.17,Kuta Blang,11.11,1110,KUTA BLANG,"insert into region (name, parent, type) values   ('KUTA BLANG,'1110','KECAMATAN');"
